age_group,answer,options,question
16-18, Option C,"A.  Keyboard,B.  Plotter,C.  Scanner,D.  OMR","A light sensitive device that converts drawing, printed text or other images into digital form is"
16-18, Option B,"E.  None of these,A.  FTP,B.  SMTP,C.  TELNET",Which protocol provides e-mail facility among different hosts?
16-18, Option A,"D.  SNMP,E.  None of these,A.  John Von Neumann,B.  Charles Babbage",The basic architecture of computer was developed by
16-18, Option D,"C.  Blaise Pascal,D.  Garden Moore,E.  None of these,A.  $","In order to tell Excel that we are entering a formula in cell, we must begin with an operator such as"
16-18, Option C,"B.  @,C.  +,D.  =,E.  #",In how many generations a computer can be classified?
11-12, Option A,"A.  Chicken,B.  Snake,C.  Swan,D.  Crocodile",Choose the word which is different from the rest.
11-12, Option D,"E.  Frog,A.  Cap,B.  Turban,C.  Helmet",Choose the word which is different from the rest.
11-12, Option B,"D.  Veil,E.  Hat,A.  Kiwi,B.  Eagle",Choose the word which is different from the rest.
11-12, Option D,"C.  Emu,D.  Ostrich,E.  Penguin,A.  Rigveda",Choose the word which is different from the rest.
11-12, Option C,"B.  Yajurveda,C.  Atharvaveda,D.  Ayurveda,E.  Samveda",Choose the word which is different from the rest.
13-15, Option B,"A.  B,B.  A,C.  H,D.  D","In a lake, there are 10 steps labelled using alphabets from A to J. Starting from step A, every minute a frog jumps to the 4th step from where it started - that is from the step A it would go to the step E and from E it would go to the step I and from I it would go to C etc. Where would the frog be at the 60th minute if it starts at the step A ?"
13-15, Option A,"E.  E,A.  8 , 6,B.  6 , 4,C.  6 , 8","In a family there are several brothers and sisters. Every 2 boys have brothers as many as sisters and each girl has 2 brothers less than twice as many brothers as sisters. Now find the number of boys and girls.

"
13-15, Option C,"D.  12 , 10,A.  18,B.  19,C.  20","In a row of trees, a tree is 7"
13-15, Option A,"D.  21,A.  B,B.  F,C.  C", from left end and 14
13-15, Option B,"D.  D,A.  12,B.  14,C.  15",  from right end. How many tree are there in the row ?
13-15, Option B,"A.  Q,B.  R,C.  S,D.  P",In a certain code FIRE is coded as DGPC. What will be the last letter of the coded word for SHOT.
13-15, Option D,"A.  3,B.  4,C.  6,D.  0","If TOUR is written in a certain code as 1234, CLEAR as 56784 and SPARE as 90847, what will be the 5"
13-15, Option C,"A.  LIGFT,B.  LGGHT,C.  LGGFT,D.  LLGFE", digit for SCULPTURE in the same code ?
13-15, Option B,"A.  SUITER,B.  VIOUER,C.  WALKER,D.  SUFFER","If in a certain language PROSE is coded as PPOQE, how is LIGHT coded in that code ?"
13-15, Option A,"A.  BGYEPYK,B.  BGYPYEK,C.  GLPEYKB","If SUMMER is coded RUNNER, the code for WINTER is"
16-18, Option C,"A.  Bjarne Stroustrup,B.  James A. Gosling,C.  Dennis Ritchie,D.  Dr. E.F. Codd","
"
16-18, Option A,"A.  AT & T's Bell Laboratories of USA in 1972,B.  AT & T's Bell Laboratories of USA in 1970,C.  Sun Microsystems in 1973,D.  Cambridge University in 1972","
"
16-18, Option D,"A.  -3.4e38 to 3.4e38,B.  -32767 to 32768,C.  -32668 to 32667,D.  -32768 to 32767","For 16-bit compiler allowable range for integer constants is ________?
"
16-18, Option B,"A.  An Editor,B.  A compiler,C.  An operating system,D.  None of these.","
"
16-18, Option A,"A.  System programming language,B.  General purpose language,C.  Data processing language","
"
11-12, Option D,"A.  100,B.  91,C.  64,D.  81", What will come at the place of question mark ?
11-12, Option D,"A.  49,B.  36,C.  30,D.  39","1, 9, 25, 49, ?, 121.
"
11-12, Option C,"A.  91,B.  51,C.  81,D.  42",What will come at the place of question mark?
11-12, Option A,"A.  430,B.  420,C.  410,D.  400","
4, 7, 12, 19, 28, ?

"
11-12, Option C,"A.  1752,B.  3504,C.  3508",What will come at the place of question mark ?
11-12, Option B,"A.  True,B.  False,A.  In traditional XHTML close tag for some elements is optional but not encouraged,B.  In traditional HTML close tag for some elements is optional but not encouraged",State whether the given statement is true or false. !DOCTYPE is case sensitive”
11-12, Option B,"C.  None of the mentioned,D.  In both traditional XHTML and HTML close tag for some elements is optional,A.  Charset in html is “text/html” where as in xhtml it is “application/xml+xhtml”,B.  None of the mentioned",Choose the correct statement of HTML
11-12, Option B,"C.  Tags and attributes are case-insensitive in HTML but not in XHTML,D.  Special characters must be escaped using character entities in XHTML unlike HTML,A.  The extension of the file “.html”,B.  The “content-type” header",Which of the following is not a difference between HTML and XHTML
11-12, Option B,"C.  Both “.html” extension and “content-type” header,D.  None of the mentioned,A.  True",What indicates the content in file is HTML when delivered on the network.
11-12, Option B,,State whether the given statement is true or false. “We can intermix XHTML and HTML 4.01 documents”
09-10, Option A,"A.  22,B.  24,C.  26,D.  28","If a * b = 2a - 3b + ab, then 3 * 5 + 5 * 3 is equal to?"
09-10, Option C,"A.  6,B.  10,C.  14,D.  16","If $$p \times q = p + q + \frac{p}{q}{\text{,}}$$    then the value of 8 × 2 is?"
09-10, Option D,"A.  $$1 + \frac{1}{{x + 4}}$$,B.  x + 4,C.  $$\frac{1}{x}$$,D.  $$\frac{{x + 4}}{x}$$",The value of $$\left( {{\text{1 + }}\frac{1}{x}} \right)$$ $$\left( {{\text{1 + }}\frac{1}{{x + 1}}} \right)$$  $$\left( {{\text{1 + }}\frac{1}{{x + 2}}} \right)$$  $$\left( {{\text{1 + }}\frac{1}{{x + 3}}} \right)$$   is?
09-10, Option A,"A.  $$\frac{{20}}{{27}}$$,B.  $$\frac{{27}}{{20}}$$,C.  $$\frac{6}{8}$$,D.  $$\frac{8}{6}$$","If $$\frac{a}{b}{\text{ = }}\frac{2}{3}$$   and $$\frac{b}{c}{\text{ = }}\frac{4}{5}{\text{,}}$$   then the ration $$\frac{{a + b}}{{b + c}}$$   equal to?"
09-10, Option C,"A.  $$\frac{5}{9}$$,B.  $$\frac{2}{7}$$,C.  $$\frac{{10}}{9}$$","If $$\frac{{2a + b}}{{a + 4b}} = 3{\text{,}}$$   then find the value of $$\frac{{a + b}}{{a + 2b}} = ?$$"
13-15, Option D,"A.  PRQS,B.  PRSQ,C.  QSRP,D.  QSPR",S
13-15, Option D,"A.  PRSQ,B.  PSQR,C.  SQRP,D.  RPSQ",:	A force of exists between everybody in the universe.
